ByteVal,enum{//,OPCode,ToStack_0,ToStack_1,ToStack_2,ToStack_3,ToStack_4,ToStack_5,NextByte_0,NextByte_1,NextByte_2,NextByte_3,NextByte_4,NextByte_5,NextByte_6,NextByte_7,NextByte_8,NextByte_9,NextByte_10,NextByte_11,NextByte_12,NextByte_13,FromStack_0,FromStack_1,FromStack_2,FromStack_3,FromStack_4
129,,lor, result,,,,,,,,,,,,,,,,,,,,value1, value2 ,,,
130,,ixor, result,,,,,,,,,,,,,,,,,,,,value1, value2 ,,,
131,,lxor, result,,,,,,,,,,,,,,,,,,,,value1, value2 ,,,
132,,iinc,index,const,,,,,index, const,,,,,,,,,,,,,[No change],,,,
133,,i2l, result,,,,,,,,,,,,,,,,,,,,value ,,,,
134,,i2f, result,,,,,,,,,,,,,,,,,,,,value ,,,,
135,,i2d, result,,,,,,,,,,,,,,,,,,,,value ,,,,
136,,l2i, result,,,,,,,,,,,,,,,,,,,,value ,,,,
137,,l2f, result,,,,,,,,,,,,,,,,,,,,value ,,,,
144,,d2f, result,,,,,,,,,,,,,,,,,,,,value ,,,,
145,,i2b, result,,,,,,,,,,,,,,,,,,,,value ,,,,
146,,i2c, result,,,,,,,,,,,,,,,,,,,,value ,,,,
147,,i2s, result,,,,,,,,,,,,,,,,,,,,value ,,,,
148,,lcmp, result,,,,,,,,,,,,,,,,,,,,value1, value2 ,,,
149,,fcmpl, result,,,,,,,,,,,,,,,,,,,,value1, value2 ,,,
150,,fcmpg, result,,,,,,,,,,,,,,,,,,,,value1, value2 ,,,
151,,dcmpl, result,,,,,,,,,,,,,,,,,,,,value1, value2 ,,,
152,,dcmpg, result,,,,,,,,,,,,,,,,,,,,value1, value2 ,,,
153,,ifeq,,,,,,,branchbyte_1, branchbyte_2,,,,,,,,,,,,,value ,,,,
10,,lconst_1,Long_1,,,,,,,,,,,,,,,,,,,,,,,,
11,,fconst_0, Float_0,,,,,,,,,,,,,,,,,,,,,,,,
12,,fconst_1, Float_1,,,,,,,,,,,,,,,,,,,,,,,,
13,,fconst_2, Float_2,,,,,,,,,,,,,,,,,,,,,,,,
14,,dconst_0,Double_0,,,,,,,,,,,,,,,,,,,,,,,,
15,,dconst_1,Double_1,,,,,,,,,,,,,,,,,,,,,,,,
26,,iload_0, value,,,,,,,,,,,,,,,,,,,,,,,,
27,,iload_1, value,,,,,,,,,,,,,,,,,,,,,,,,
28,,iload_2, value,,,,,,,,,,,,,,,,,,,,,,,,
29,,iload_3, value,,,,,,,,,,,,,,,,,,,,,,,,
30,,lload_0, value,,,,,,,,,,,,,,,,,,,,,,,,
31,,lload_1, value,,,,,,,,,,,,,,,,,,,,,,,,
42,,aload_0, objectref,,,,,,,,,,,,,,,,,,,,,,,,
43,,aload_1, objectref,,,,,,,,,,,,,,,,,,,,,,,,
44,,aload_2, objectref,,,,,,,,,,,,,,,,,,,,,,,,
45,,aload_3, objectref,,,,,,,,,,,,,,,,,,,,,,,,
46,,iaload, value,,,,,,,,,,,,,,,,,,,,arrayref, index ,,,
